"filename", "language", "JSON with Comments", "vue", "JavaScript", "JSON", "CSS", "Markdown", "HTML", "comment", "blank", "total"
"d:\Coding\Vue\HyperMusic_frontend\README.md", "Markdown", 0, 0, 0, 0, 0, 19, 0, 0, 6, 25
"d:\Coding\Vue\HyperMusic_frontend\axios\axios.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Coding\Vue\HyperMusic_frontend\babel.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\Coding\Vue\HyperMusic_frontend\jsconfig.json", "JSON with Comments", 8, 0, 0, 0, 0, 0, 0, 12, 0, 20
"d:\Coding\Vue\HyperMusic_frontend\package-lock.json", "JSON", 0, 0, 0, 10360, 0, 0, 0, 0, 1, 10361
"d:\Coding\Vue\HyperMusic_frontend\package.json", "JSON", 0, 0, 0, 53, 0, 0, 0, 0, 1, 54
"d:\Coding\Vue\HyperMusic_frontend\public\index.html", "HTML", 0, 0, 0, 0, 0, 0, 24, 1, 1, 26
"d:\Coding\Vue\HyperMusic_frontend\src\App.vue", "vue", 0, 26, 0, 0, 0, 0, 0, 0, 9, 35
"d:\Coding\Vue\HyperMusic_frontend\src\api\api.js", "JavaScript", 0, 0, 33, 0, 0, 0, 0, 14, 8, 55
"d:\Coding\Vue\HyperMusic_frontend\src\api\http.js", "JavaScript", 0, 0, 11, 0, 0, 0, 0, 2, 1, 14
"d:\Coding\Vue\HyperMusic_frontend\src\assets\PageCss\Title.css", "CSS", 0, 0, 0, 0, 65, 0, 0, 1, 10, 76
"d:\Coding\Vue\HyperMusic_frontend\src\assets\css\PageCss\Label.css", "CSS", 0, 0, 0, 0, 36, 0, 0, 0, 0, 36
"d:\Coding\Vue\HyperMusic_frontend\src\assets\css\PageCss\Layout.css", "CSS", 0, 0, 0, 0, 18, 0, 0, 0, 1, 19
"d:\Coding\Vue\HyperMusic_frontend\src\assets\css\PageCss\Title.css", "CSS", 0, 0, 0, 0, 106, 0, 0, 27, 8, 141
"d:\Coding\Vue\HyperMusic_frontend\src\assets\data\artistclassify.js", "JavaScript", 0, 0, 29, 0, 0, 0, 0, 0, 0, 29
"d:\Coding\Vue\HyperMusic_frontend\src\assets\data\artistlist.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 25
"d:\Coding\Vue\HyperMusic_frontend\src\assets\data\discoverlist.js", "JavaScript", 0, 0, 36, 0, 0, 0, 0, 1, 5, 42
"d:\Coding\Vue\HyperMusic_frontend\src\assets\data\favorites.js", "JavaScript", 0, 0, 28, 0, 0, 0, 0, 0, 3, 31
"d:\Coding\Vue\HyperMusic_frontend\src\assets\data\playliststyle.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 1, 0, 13
"d:\Coding\Vue\HyperMusic_frontend\src\assets\data\ranklist.js", "JavaScript", 0, 0, 106, 0, 0, 0, 0, 0, 1, 107
"d:\Coding\Vue\HyperMusic_frontend\src\assets\data\searchRes.js", "JavaScript", 0, 0, 94, 0, 0, 0, 0, 0, 4, 98
"d:\Coding\Vue\HyperMusic_frontend\src\assets\data\songlist.js", "JavaScript", 0, 0, 27, 0, 0, 0, 0, 1, 0, 28
"d:\Coding\Vue\HyperMusic_frontend\src\assets\data\songsRank.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 1, 1, 27
